SampleID	Location	Material	Moisture	Tp	Treatment	Material_Moisture	Material_Location	Moisture_Loaction	Material_Moisture_Location_Timepoint	Material_Moisture_Location	Description	Gypsum	MDF	MF.Gypsum	Plywood	Wet	Timepoint	Location_1	Location_2	Control
control.Gypsum.wet.TP4.RE.DUP	control	Gypsum	wet	4	RE.DUP	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_4	Gypsum_wet_control	control.Gypsum.wet.TP4.RE.DUP	1	0	0	0	1	4	0	0	1
control.Gypsum.wet.TP5	control	Gypsum	wet	5	REG	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_5	Gypsum_wet_control	control.Gypsum.wet.TP5	1	0	0	0	1	5	0	0	1
control.Gypsum.wet.TP5.RE	control	Gypsum	wet	5	RE	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_5	Gypsum_wet_control	control.Gypsum.wet.TP5.RE	1	0	0	0	1	5	0	0	1
control.Gypsum.wet.TP5.RE.DUP	control	Gypsum	wet	5	RE.DUP	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_5	Gypsum_wet_control	control.Gypsum.wet.TP5.RE.DUP	1	0	0	0	1	5	0	0	1
control.Gypsum.wet.TP6	control	Gypsum	wet	6	REG	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_6	Gypsum_wet_control	control.Gypsum.wet.TP6	1	0	0	0	1	6	0	0	1
control.Gypsum.wet.TP6.DUP	control	Gypsum	wet	6	DUP	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_6	Gypsum_wet_control	control.Gypsum.wet.TP6.DUP	1	0	0	0	1	6	0	0	1
control.Gypsum.wet.TP6.RE	control	Gypsum	wet	6	RE	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_6	Gypsum_wet_control	control.Gypsum.wet.TP6.RE	1	0	0	0	1	6	0	0	1
control.Gypsum.wet.TP6.RE.DUP	control	Gypsum	wet	6	RE.DUP	Gypsum_wet	Gypsum_control	wet_control	Gypsum_wet_control_6	Gypsum_wet_control	control.Gypsum.wet.TP6.RE.DUP	1	0	0	0	1	6	0	0	1
control.MDF.dry.TP0	control	MDF	dry	0	REG	MDF_dry	MDF_control	dry_control	MDF_dry_control_0	MDF_dry_control	control.MDF.dry.TP0	0	1	0	0	0	0	0	0	1
control.MDF.dry.TP0.DUP	control	MDF	dry	0	DUP	MDF_dry	MDF_control	dry_control	MDF_dry_control_0	MDF_dry_control	control.MDF.dry.TP0.DUP	0	1	0	0	0	0	0	0	1
control.MDF.dry.TP1	control	MDF	dry	1	REG	MDF_dry	MDF_control	dry_control	MDF_dry_control_1	MDF_dry_control	control.MDF.dry.TP1	0	1	0	0	0	1	0	0	1
control.MDF.dry.TP1.RE	control	MDF	dry	1	RE	MDF_dry	MDF_control	dry_control	MDF_dry_control_1	MDF_dry_control	control.MDF.dry.TP1.RE	0	1	0	0	0	1	0	0	1
control.MDF.dry.TP1.RE.DUP	control	MDF	dry	1	RE.DUP	MDF_dry	MDF_control	dry_control	MDF_dry_control_1	MDF_dry_control	control.MDF.dry.TP1.RE.DUP	0	1	0	0	0	1	0	0	1
control.MDF.dry.TP2	control	MDF	dry	2	REG	MDF_dry	MDF_control	dry_control	MDF_dry_control_2	MDF_dry_control	control.MDF.dry.TP2	0	1	0	0	0	2	0	0	1
control.MDF.dry.TP2.DUP	control	MDF	dry	2	DUP	MDF_dry	MDF_control	dry_control	MDF_dry_control_2	MDF_dry_control	control.MDF.dry.TP2.DUP	0	1	0	0	0	2	0	0	1
control.MDF.dry.TP2.RE	control	MDF	dry	2	RE	MDF_dry	MDF_control	dry_control	MDF_dry_control_2	MDF_dry_control	control.MDF.dry.TP2.RE	0	1	0	0	0	2	0	0	1
control.MDF.dry.TP2.RE.DUP	control	MDF	dry	2	RE.DUP	MDF_dry	MDF_control	dry_control	MDF_dry_control_2	MDF_dry_control	control.MDF.dry.TP2.RE.DUP	0	1	0	0	0	2	0	0	1
control.MDF.dry.TP3	control	MDF	dry	3	REG	MDF_dry	MDF_control	dry_control	MDF_dry_control_3	MDF_dry_control	control.MDF.dry.TP3	0	1	0	0	0	3	0	0	1
control.MDF.dry.TP3.RE.DUP	control	MDF	dry	3	RE.DUP	MDF_dry	MDF_control	dry_control	MDF_dry_control_3	MDF_dry_control	control.MDF.dry.TP3.RE.DUP	0	1	0	0	0	3	0	0	1
control.MDF.wet.TP0	control	MDF	wet	0	REG	MDF_wet	MDF_control	wet_control	MDF_wet_control_0	MDF_wet_control	control.MDF.wet.TP0	0	1	0	0	1	0	0	0	1
control.MDF.wet.TP0.DUP	control	MDF	wet	0	DUP	MDF_wet	MDF_control	wet_control	MDF_wet_control_0	MDF_wet_control	control.MDF.wet.TP0.DUP	0	1	0	0	1	0	0	0	1
control.MF.Gypsum.dry.TP0	control	MF.Gypsum	dry	0	REG	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_0	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP0	0	0	1	0	0	0	0	0	1
control.MF.Gypsum.dry.TP0.DUP	control	MF.Gypsum	dry	0	DUP	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_0	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP0.DUP	0	0	1	0	0	0	0	0	1
control.MF.Gypsum.dry.TP1	control	MF.Gypsum	dry	1	REG	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_1	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP1	0	0	1	0	0	1	0	0	1
control.MF.Gypsum.dry.TP1.RE	control	MF.Gypsum	dry	1	RE	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_1	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP1.RE	0	0	1	0	0	1	0	0	1
control.MF.Gypsum.dry.TP1.RE.DUP	control	MF.Gypsum	dry	1	RE.DUP	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_1	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP1.RE.DUP	0	0	1	0	0	1	0	0	1
control.MF.Gypsum.dry.TP2	control	MF.Gypsum	dry	2	REG	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_2	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP2	0	0	1	0	0	2	0	0	1
control.MF.Gypsum.dry.TP2.DUP	control	MF.Gypsum	dry	2	DUP	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_2	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP2.DUP	0	0	1	0	0	2	0	0	1
control.MF.Gypsum.dry.TP2.RE	control	MF.Gypsum	dry	2	RE	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_2	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP2.RE	0	0	1	0	0	2	0	0	1
control.MF.Gypsum.dry.TP2.RE.DUP	control	MF.Gypsum	dry	2	RE.DUP	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_2	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP2.RE.DUP	0	0	1	0	0	2	0	0	1
control.MF.Gypsum.dry.TP3	control	MF.Gypsum	dry	3	REG	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_3	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP3	0	0	1	0	0	3	0	0	1
control.MF.Gypsum.dry.TP3.RE	control	MF.Gypsum	dry	3	RE	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_3	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP3.RE	0	0	1	0	0	3	0	0	1
control.MF.Gypsum.dry.TP3.RE.DUP	control	MF.Gypsum	dry	3	RE.DUP	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_3	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP3.RE.DUP	0	0	1	0	0	3	0	0	1
control.MF.Gypsum.dry.TP4	control	MF.Gypsum	dry	4	REG	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_4	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP4	0	0	1	0	0	4	0	0	1
control.MF.Gypsum.dry.TP4.DUP	control	MF.Gypsum	dry	4	DUP	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_4	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP4.DUP	0	0	1	0	0	4	0	0	1
control.MF.Gypsum.dry.TP4.RE	control	MF.Gypsum	dry	4	RE	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_4	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP4.RE	0	0	1	0	0	4	0	0	1
control.MF.Gypsum.dry.TP5	control	MF.Gypsum	dry	5	REG	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_5	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP5	0	0	1	0	0	5	0	0	1
control.MF.Gypsum.dry.TP5.RE.DUP	control	MF.Gypsum	dry	5	RE.DUP	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_5	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP5.RE.DUP	0	0	1	0	0	5	0	0	1
control.MF.Gypsum.dry.TP6	control	MF.Gypsum	dry	6	REG	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_6	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP6	0	0	1	0	0	6	0	0	1
control.MF.Gypsum.dry.TP6.DUP	control	MF.Gypsum	dry	6	DUP	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_6	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP6.DUP	0	0	1	0	0	6	0	0	1
control.MF.Gypsum.dry.TP6.RE	control	MF.Gypsum	dry	6	RE	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_6	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP6.RE	0	0	1	0	0	6	0	0	1
control.MF.Gypsum.dry.TP6.RE.DUP	control	MF.Gypsum	dry	6	RE.DUP	MF.Gypsum_dry	MF.Gypsum_control	dry_control	MF.Gypsum_dry_control_6	MF.Gypsum_dry_control	control.MF.Gypsum.dry.TP6.RE.DUP	0	0	1	0	0	6	0	0	1
control.MF.Gypsum.wet.TP0	control	MF.Gypsum	wet	0	REG	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_0	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP0	0	0	1	0	1	0	0	0	1
control.MF.Gypsum.wet.TP0.DUP	control	MF.Gypsum	wet	0	DUP	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_0	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP0.DUP	0	0	1	0	1	0	0	0	1
control.MF.Gypsum.wet.TP1	control	MF.Gypsum	wet	1	REG	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_1	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP1	0	0	1	0	1	1	0	0	1
control.MF.Gypsum.wet.TP1.RE	control	MF.Gypsum	wet	1	RE	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_1	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP1.RE	0	0	1	0	1	1	0	0	1
control.MF.Gypsum.wet.TP1.RE.DUP	control	MF.Gypsum	wet	1	RE.DUP	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_1	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP1.RE.DUP	0	0	1	0	1	1	0	0	1
control.MF.Gypsum.wet.TP2	control	MF.Gypsum	wet	2	REG	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_2	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP2	0	0	1	0	1	2	0	0	1
control.MF.Gypsum.wet.TP2.DUP	control	MF.Gypsum	wet	2	DUP	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_2	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP2.DUP	0	0	1	0	1	2	0	0	1
control.MF.Gypsum.wet.TP2.RE	control	MF.Gypsum	wet	2	RE	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_2	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP2.RE	0	0	1	0	1	2	0	0	1
control.MF.Gypsum.wet.TP2.RE.DUP	control	MF.Gypsum	wet	2	RE.DUP	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_2	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP2.RE.DUP	0	0	1	0	1	2	0	0	1
control.MF.Gypsum.wet.TP3.RE	control	MF.Gypsum	wet	3	RE	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_3	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP3.RE	0	0	1	0	1	3	0	0	1
control.MF.Gypsum.wet.TP3.RE.DUP	control	MF.Gypsum	wet	3	RE.DUP	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_3	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP3.RE.DUP	0	0	1	0	1	3	0	0	1
control.MF.Gypsum.wet.TP4.DUP	control	MF.Gypsum	wet	4	DUP	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_4	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP4.DUP	0	0	1	0	1	4	0	0	1
control.MF.Gypsum.wet.TP4.RE	control	MF.Gypsum	wet	4	RE	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_4	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP4.RE	0	0	1	0	1	4	0	0	1
control.MF.Gypsum.wet.TP4.RE.DUP	control	MF.Gypsum	wet	4	RE.DUP	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_4	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP4.RE.DUP	0	0	1	0	1	4	0	0	1
control.MF.Gypsum.wet.TP5	control	MF.Gypsum	wet	5	REG	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_5	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP5	0	0	1	0	1	5	0	0	1
control.MF.Gypsum.wet.TP5.RE	control	MF.Gypsum	wet	5	RE	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_5	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP5.RE	0	0	1	0	1	5	0	0	1
control.MF.Gypsum.wet.TP5.RE.DUP	control	MF.Gypsum	wet	5	RE.DUP	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_5	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP5.RE.DUP	0	0	1	0	1	5	0	0	1
control.MF.Gypsum.wet.TP6.RE	control	MF.Gypsum	wet	6	RE	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_6	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP6.RE	0	0	1	0	1	6	0	0	1
control.MF.Gypsum.wet.TP6.RE.DUP	control	MF.Gypsum	wet	6	RE.DUP	MF.Gypsum_wet	MF.Gypsum_control	wet_control	MF.Gypsum_wet_control_6	MF.Gypsum_wet_control	control.MF.Gypsum.wet.TP6.RE.DUP	0	0	1	0	1	6	0	0	1
